word;lemm;lemmed
осенняя;осенний;True
чему;что;True
готовиться;готовить;True
казахстану;казахстан;True
большие;большой;True
игры;игра;True
геополитическом;геополитический;True
этой;этот;True
осенью;осень;True
есть;быть;True
непредсказуемы;непредсказуемый;True
кем;кто;True
кого;кто;True
затронут;затронуть;True
они;он;True
расскажут;рассказать;True
эксперты;эксперт;True
прогнозы;прогноз;True
ожидания;ожидание;True
внешней;внешний;True
политике;политика;True
поделились;поделить;True
внешнеполитическими;внешнеполитический;True
прогнозами;прогноз;True
приводим;привести;True
вашему;ваш;True
вниманию;внимание;True
тезисные;тезисный;True
высказывания;высказывание;True
отмечает;отметить;True
сложное;сложный;True
настоящее;настоящий;True
мире;мир;True
царит;царить;True
краткосрочные;краткосрочный;True
тренды;тренд;True
могут;мочь;True
воронку;воронка;True
торговых;торговый;True
санкционных;санкционный;True
войн;война;True
поднебесной;поднебесная;True
мировые;мировой;True
рынки;рынок;True
может;мочь;True
нам;мы;True
руку;рука;True
условии;условие;True
идет;идти;True
продовольственном;продовольственный;True
внутреннем;внутренний;True
рынке;рынок;True
миду;мид;True
казахстана;казахстан;True
придется;прийтись;True
скандалов;скандал;True
турцией;турция;True
ираном;иран;True
америкой;америка;True
сохранив;сохранить;True
этом;это;True
наживая;нажить;True
врагов;враг;True
предсказывает;предсказать;True
международных;международный;True
политических;политический;True
отношений;отношение;True
становятся;стать;True
непримиримыми;непримиримый;True
врагами;враг;True
американских;американский;True
промежуточных;промежуточный;True
выборов;выборы;True
президента;президент;True
исключено;исключить;True
ноябрю;ноябрь;True
сменит;сменить;True
отношению;отношение;True
ирану;иран;True
означает;означать;True
произойдут;произойти;True
изменения;изменение;True
нефти;нефть;True
чьи;чей;True
дипломаты;дипломат;True
круче;круто;True
находясь;находиться;True
объятиях;объятие;True
проекта;проект;True
максимуме;максимум;True
своей;свой;True
дипломатичности;дипломатичность;True
большая;большой;True
ложится;лечь;True
плечи;плечо;True
послов;посол;True
казахстане;казахстан;True
чем;что;True
основные;основной;True
отличия;отличие;True
китайских;китайский;True
российских;российский;True
оценил;оценить;True
дипломатические;дипломатический;True
связи;связь;True
китая;китай;True
лет;год;True
представляли;представить;True
политические;политический;True
тяжеловесы;тяжеловес;True
страны;страна;True
люди;человек;True
имеющие;иметь;True
века;век;True
наши;наш;True
менялись;менять;True
проводил;провести;True
частую;частый;True
ротацию;ротация;True
своих;свой;True
кадров;кадр;True
такая;такой;True
мнению;мнение;True
шибутова;шибутов;True
снижает;снизить;True
развития;развитие;True
прочных;прочный;True
связей;связь;True
пребывания;пребывание;True
больше;много;True
зависит;зависеть;True
успехов;успех;True
санкций;санкция;True
остается;остаться;True
открытым;открытый;True
будет;быть;True
дальнейшем;дальнейший;True
обострении;обострение;True
конфронтации;конфронтация;True
россии;россия;True
новых;новый;True
вступил;вступить;True
силу;сила;True
отразиться;отразить;True
российской;российский;True
экономике;экономика;True
курсе;курс;True
рубля;рубль;True
ограничиться;ограничить;True
ролью;роль;True
наблюдателя;наблюдатель;True
получится;получить;True
многое;многий;True
связывает;связать;True
государства;государство;True
находится;находиться;True
списке;список;True
фундаментальных;фундаментальный;True
факторов;фактор;True
которые;который;True
влияют;влиять;True
поведет;повести;True
казахстанская;казахстанский;True
основных;основной;True
вопросов;вопрос;True
ближайшего;близкий;True
будущего;будущее;True
цветочки;цветочек;True
смотрит;смотреть;True
скорее;скоро;True
осторожным;осторожный;True
оптимизмом;оптимизм;True
ее;её;True
кардинального;кардинальный;True
негативного;негативный;True
влияния;влияние;True
этого;этот;True
пакета;пакет;True
новые;новый;True
ограничения;ограничение;True
большей;больший;True
степени;степень;True
повторяют;повторить;True
существующие;существовать;True
запреты;запрет;True
ослабления;ослабление;True
пугает;пугать;True
верит;верить;True
девальвацию;девальвация;True
пару;пара;True
месяцев;месяц;True
вступит;вступить;True
эксперта;эксперт;True
выглядит;выглядеть;True
устрашающим;устрашающий;True
валюты;валюта;True
начнется;начать;True
второго;второй;True
санкции;санкция;True
ситуации;ситуация;True
приведет;привести;True
доллара;доллар;True
уровню;уровень;True
считает;считать;True
она;он;True
копирует;копировать;True
движения;движение;True
такого;такой;True
поведения;поведение;True
него;он;True
торговая;торговый;True
пройдет;пройти;True
компании;компания;True
напомнил;напомнить;True
прошлой;прошлый;True
неделе;неделя;True
апреля;апрель;True
года;год;True
поднимался;поднять;True
рублей;рубль;True
откатился;откатить;True
отметку;отметка;True
определяющими;определить;True
курса;курс;True
останутся;остаться;True
геополитические;геополитический;True
факторы;фактор;True
отразится;отразить;True
китаем;китай;True
российские;российский;True
торговой;торговый;True
войны;война;True
финансовых;финансовый;True
рынках;рынок;True
развивающихся;развить;True
стран;страна;True
исключать;исключить;True
обострения;обострение;True
военного;военный;True
противостояния;противостояние;True
западной;западный;True
коалиции;коалиция;True
россией;россия;True
сирии;сирия;True
продолжает;продолжить;True
сказываться;сказаться;True
торгов;торг;True
августе;август;True
иностранных;иностранный;True
инвестиций;инвестиция;True
сказал;сказать;True
прогнозирует;прогнозировать;True
утверждает;утверждать;True
существует;существовать;True
девальвации;девальвация;True
все;весь;True
было;быть;True
капитала;капитал;True
нерезидентов;нерезидент;True
казахстанскую;казахстанский;True
валюту;валюта;True
ждут;ждать;True
лучшие;хороший;True
времена;время;True
объясняется;объяснить;True
тесными;тесный;True
торговыми;торговый;True
связями;связь;True
влияет;влиять;True
казахстанских;казахстанский;True
компаний;компания;True
распродаже;распродажа;True
тенговых;тенговый;True
облигаций;облигация;True
акций;акция;True
вывозу;вывоз;True
конечном;конечный;True
итоге;итог;True
ослаблению;ослабление;True
валютная;валютный;True
пиков;пик;True
отметки;отметка;True
введут;ввести;True
покупку;покупка;True
российского;российский;True
долга;долг;True
западными;западный;True
инвесторами;инвестор;True
проводить;провести;True
масштабные;масштабный;True
интервенции;интервенция;True
казахстанской;казахстанский;True
рублю;рубль;True
движется;двигать;True
траектории;траектория;True
привязывается;привязать;True
сегмента;сегмент;True
развивающиеся;развить;True
рыночной;рыночный;True
экономикой;экономика;True
последнее;последний;True
ведут;вести;True
росте;рост;True
рисков;риск;True
снижаются;снизить;True
резком;резкий;True
скачке;скачок;True
олигархи;олигарх;True
заработали;заработать;True
казахские;казахский;True
каждой;каждый;True
своя;свой;True
фундаментальная;фундаментальный;True
техническая;технический;True
характеристики;характеристика;True
связана;связать;True
значит;значить;True
динамику;динамика;True
санкционная;санкционный;True
негатива;негатив;True
аналитика;аналитик;True
сырья;сырьё;True
темпов;темп;True
роста;рост;True
китае;китай;True
индии;индия;True
санкционные;санкционный;True
риски;риск;True
связаны;связать;True
расчетами;расчёт;True
долларах;доллар;True
будут;быть;True
увеличивать;увеличить;True
долю;доля;True
национальных;национальный;True
валют;валюта;True
взаимных;взаимный;True
расчетах;расчёт;True
проблем;проблема;True
снимет;снять;True
усложнит;усложнить;True
утяжелит;утяжелить;True
возможным;возможный;True
иранским;иранский;True
вариантом;вариант;True
отношении;отношение;True
политической;политический;True
воли;воля;True
руководства;руководство;True
продолжит;продолжить;True
доллару;доллар;True
цели;цель;True
рассматривать;рассмотреть;True
залогом;залог;True
стабильности;стабильность;True
хорошие;хороший;True
макроэкономические;макроэкономический;True
показатели;показатель;True
близкие;близкий;True
темпы;темп;True
низкую;низкий;True
инфляцию;инфляция;True
начала;начать;True
охоту;охота;True
шпионов;шпион;True
лоббистов;лоббист;True
власти;власть;True
австралии;австралия;True
разработали;разработать;True
акты;акт;True
ужесточают;ужесточить;True
наказания;наказание;True
внешнее;внешний;True
политическую;политический;True
законотворчества;законотворчество;True
инвесторов;инвестор;True
взят;взять;True
году;год;True
был;быть;True
принят;принять;True
регистрации;регистрация;True
агентов;агент;True
определяет;определить;True
